comment_text,num_replies,num_likes,theme_ground_truth
This serum made my skin glow after just one week.,0,24,performance
"Did not help with my acne, very disappointed.",1,17,performance
Perfect moisturizer for humid weather.,1,22,performance
This serum made my skin glow after just one week.,3,23,performance
"Did not help with my acne, very disappointed.",8,14,performance
Perfect moisturizer for humid weather.,6,17,performance
"Did not help with my acne, very disappointed.",7,9,performance
This serum made my skin glow after just one week.,2,15,performance
Didn't notice any difference even after a month.,5,23,performance
Keeps my hair smooth all day long.,1,31,performance
This serum made my skin glow after just one week.,6,40,performance
Perfect moisturizer for humid weather.,4,36,performance
This serum made my skin glow after just one week.,7,0,performance
Didn't notice any difference even after a month.,1,18,performance
Perfect moisturizer for humid weather.,4,31,performance
Keeps my hair smooth all day long.,9,12,performance
"Did not help with my acne, very disappointed.",1,31,performance
Keeps my hair smooth all day long.,1,27,performance
"Did not help with my acne, very disappointed.",1,16,performance
Keeps my hair smooth all day long.,2,32,performance
Keeps my hair smooth all day long.,5,26,performance
This serum made my skin glow after just one week.,9,32,performance
"Did not help with my acne, very disappointed.",8,24,performance
Didn't notice any difference even after a month.,4,19,performance
Perfect moisturizer for humid weather.,3,17,performance
This serum made my skin glow after just one week.,3,7,performance
This serum made my skin glow after just one week.,5,21,performance
Perfect moisturizer for humid weather.,5,27,performance
"Did not help with my acne, very disappointed.",10,4,performance
Didn't notice any difference even after a month.,2,25,performance
Keeps my hair smooth all day long.,2,25,performance
Keeps my hair smooth all day long.,9,37,performance
Didn't notice any difference even after a month.,9,19,performance
"Did not help with my acne, very disappointed.",8,29,performance
Didn't notice any difference even after a month.,1,25,performance
"Worth every cent, I would repurchase.",10,0,price
"Worth every cent, I would repurchase.",10,16,price
I only buy this when it's on sale.,9,21,price
I only buy this when it's on sale.,8,19,price
Too expensive for such a small bottle.,10,32,price
Too expensive for such a small bottle.,10,32,price
Affordable compared to similar products.,1,8,price
Affordable compared to similar products.,6,20,price
Affordable compared to similar products.,8,20,price
"Worth every cent, I would repurchase.",8,37,price
Affordable compared to similar products.,10,9,price
Great value for money.,9,23,price
"Worth every cent, I would repurchase.",8,29,price
Great value for money.,0,10,price
Too expensive for such a small bottle.,5,13,price
Affordable compared to similar products.,3,39,price
Too expensive for such a small bottle.,1,27,price
I only buy this when it's on sale.,1,32,price
"Worth every cent, I would repurchase.",2,18,price
I only buy this when it's on sale.,8,26,price
Great value for money.,6,30,price
"Worth every cent, I would repurchase.",8,20,price
Affordable compared to similar products.,6,4,price
Affordable compared to similar products.,7,28,price
"Worth every cent, I would repurchase.",3,13,price
Too expensive for such a small bottle.,5,32,price
Great value for money.,3,21,price
Too expensive for such a small bottle.,1,19,price
Too expensive for such a small bottle.,0,16,price
Affordable compared to similar products.,1,11,price
I only buy this when it's on sale.,3,19,price
Great value for money.,2,16,price
Great value for money.,7,0,price
"Worth every cent, I would repurchase.",7,22,price
Too expensive for such a small bottle.,10,13,price
